"lon","lat","acronym","scientific_name","source"
23.075,63.825,"ALLAMP","Allium ampeloprasum L.","gbif"
2.856474,39.611019,"ALLAMP","Allium ampeloprasum L.","gbif"
3.152681,46.991773,"ALLAMP","Allium ampeloprasum L.","gbif"
1.273758,43.864832,"ALLAMP","Allium ampeloprasum L.","gbif"
2.838591,41.989006,"ALLAMP","Allium ampeloprasum L.","gbif"
6.081326,43.153391,"ALLAMP","Allium ampeloprasum L.","gbif"
4.354684,43.994786,"ALLAMP","Allium ampeloprasum L.","gbif"
3.722222,43.554167,"ALLAMP","Allium ampeloprasum L.","gbif"
14.51501,50.137037,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.469015,52.153007,"ALLAMP","Allium ampeloprasum L.","gbif"
23.023889,39.324722,"ALLAMP","Allium ampeloprasum L.","gbif"
15.280753,37.015585,"ALLAMP","Allium ampeloprasum L.","gbif"
6.275,43.125,"ALLAMP","Allium ampeloprasum L.","gbif"
1.07916,51.281846,"ALLAMP","Allium ampeloprasum L.","gbif"
9.439619,45.586607,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.141667,50.861944,"ALLAMP","Allium ampeloprasum L.","gbif"
2.929053,39.663747,"ALLAMP","Allium ampeloprasum L.","gbif"
2.257183,48.919953,"ALLAMP","Allium ampeloprasum L.","gbif"
3.148333,50.636944,"ALLAMP","Allium ampeloprasum L.","gbif"
-4.324268,37.624729,"ALLAMP","Allium ampeloprasum L.","gbif"
9.185244,44.92273,"ALLAMP","Allium ampeloprasum L.","gbif"
-4.421623,36.762636,"ALLAMP","Allium ampeloprasum L.","gbif"
0.595461,41.628949,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.096273,39.887253,"ALLAMP","Allium ampeloprasum L.","gbif"
-5.748742,37.932369,"ALLAMP","Allium ampeloprasum L.","gbif"
5.272397,45.39761,"ALLAMP","Allium ampeloprasum L.","gbif"
-3.028241,53.377489,"ALLAMP","Allium ampeloprasum L.","gbif"
4.427667,43.805354,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.443308,39.444853,"ALLAMP","Allium ampeloprasum L.","gbif"
6.114675,43.100896,"ALLAMP","Allium ampeloprasum L.","gbif"
2.121887,41.500618,"ALLAMP","Allium ampeloprasum L.","gbif"
2.14445,48.79927,"ALLAMP","Allium ampeloprasum L.","gbif"
30.132445,50.121081,"ALLAMP","Allium ampeloprasum L.","gbif"
-5.846526,37.630289,"ALLAMP","Allium ampeloprasum L.","gbif"
1.523609,44.191175,"ALLAMP","Allium ampeloprasum L.","gbif"
11.853199,45.635849,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.361591,44.704876,"ALLAMP","Allium ampeloprasum L.","gbif"
0.6575,47.573056,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.456232,39.621142,"ALLAMP","Allium ampeloprasum L.","gbif"
1.686716,43.771593,"ALLAMP","Allium ampeloprasum L.","gbif"
4.657784,46.434118,"ALLAMP","Allium ampeloprasum L.","gbif"
16.909156,48.610972,"ALLAMP","Allium ampeloprasum L.","gbif"
-1.56504,43.436936,"ALLAMP","Allium ampeloprasum L.","gbif"
14.842222,36.805833,"ALLAMP","Allium ampeloprasum L.","gbif"
6.35749,49.441304,"ALLAMP","Allium ampeloprasum L.","gbif"
-4.440776,36.702213,"ALLAMP","Allium ampeloprasum L.","gbif"
8.307212,40.587223,"ALLAMP","Allium ampeloprasum L.","gbif"
6.804441,47.454263,"ALLAMP","Allium ampeloprasum L.","gbif"
0.382189,44.359585,"ALLAMP","Allium ampeloprasum L.","gbif"
4.292265,43.715442,"ALLAMP","Allium ampeloprasum L.","gbif"
-4.346859,37.24422,"ALLAMP","Allium ampeloprasum L.","gbif"
4.204364,43.692079,"ALLAMP","Allium ampeloprasum L.","gbif"
3.034722,41.813056,"ALLAMP","Allium ampeloprasum L.","gbif"
-1.524633,48.913048,"ALLAMP","Allium ampeloprasum L.","gbif"
1.955572,48.999986,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.073049,44.944765,"ALLAMP","Allium ampeloprasum L.","gbif"
-3.901899,40.415321,"ALLAMP","Allium ampeloprasum L.","gbif"
6.316908,43.393485,"ALLAMP","Allium ampeloprasum L.","gbif"
2.735104,39.640251,"ALLAMP","Allium ampeloprasum L.","gbif"
3.054115,50.684588,"ALLAMP","Allium ampeloprasum L.","gbif"
1.266026,41.114308,"ALLAMP","Allium ampeloprasum L.","gbif"
12.675,56.225,"ALLAMP","Allium ampeloprasum L.","gbif"
3.673056,43.41,"ALLAMP","Allium ampeloprasum L.","gbif"
-2.013165,52.800247,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.525653,44.885381,"ALLAMP","Allium ampeloprasum L.","gbif"
1.130039,41.147844,"ALLAMP","Allium ampeloprasum L.","gbif"
20.721043,38.808678,"ALLAMP","Allium ampeloprasum L.","gbif"
1.675,41.225,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.169275,44.818417,"ALLAMP","Allium ampeloprasum L.","gbif"
23.722531,38.045676,"ALLAMP","Allium ampeloprasum L.","gbif"
11.1002,42.754687,"ALLAMP","Allium ampeloprasum L.","gbif"
10.035254,44.075372,"ALLAMP","Allium ampeloprasum L.","gbif"
1.302952,43.766165,"ALLAMP","Allium ampeloprasum L.","gbif"
20.676172,38.83265,"ALLAMP","Allium ampeloprasum L.","gbif"
20.669905,38.831603,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.224999999999998,38.525,"ALLAMP","Allium ampeloprasum L.","gbif"
18.775,59.575,"ALLAMP","Allium ampeloprasum L.","gbif"
8.633451,44.653756,"ALLAMP","Allium ampeloprasum L.","gbif"
14.375,44.675,"ALLAMP","Allium ampeloprasum L.","gbif"
8.575,44.375,"ALLAMP","Allium ampeloprasum L.","gbif"
-3.125,47.625,"ALLAMP","Allium ampeloprasum L.","gbif"
-4.425,47.975,"ALLAMP","Allium ampeloprasum L.","gbif"
3.55519,43.39268,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.474999999999998,38.375,"ALLAMP","Allium ampeloprasum L.","gbif"
5.375756,43.568524,"ALLAMP","Allium ampeloprasum L.","gbif"
4.381034,44.396466,"ALLAMP","Allium ampeloprasum L.","gbif"
10.269944,56.381755,"ALLAMP","Allium ampeloprasum L.","gbif"
10.550405,56.108992,"ALLAMP","Allium ampeloprasum L.","gbif"
10.113019,56.553976,"ALLAMP","Allium ampeloprasum L.","gbif"
10.536479,56.163082,"ALLAMP","Allium ampeloprasum L.","gbif"
13.70092,55.86273,"ALLAMP","Allium ampeloprasum L.","gbif"
9.834758,54.983679,"ALLAMP","Allium ampeloprasum L.","gbif"
10.739134,55.297664,"ALLAMP","Allium ampeloprasum L.","gbif"
8.289314,55.775236,"ALLAMP","Allium ampeloprasum L.","gbif"
12.382125,55.686549,"ALLAMP","Allium ampeloprasum L.","gbif"
12.301449,55.702779,"ALLAMP","Allium ampeloprasum L.","gbif"
12.93585,56.622422,"ALLAMP","Allium ampeloprasum L.","gbif"
8.65,42.41667,"ALLAMP","Allium ampeloprasum L.","gbif"
9.475,40.925,"ALLAMP","Allium ampeloprasum L.","gbif"
-3.325,47.725,"ALLAMP","Allium ampeloprasum L.","gbif"
-8.775,42.275,"ALLAMP","Allium ampeloprasum L.","gbif"
12.875,55.875,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.41,39.42,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.59,39.63,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.11,38.94,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.26,39.62,"ALLAMP","Allium ampeloprasum L.","gbif"
0.5,40.5,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.48,39.42,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.47,39.43,"ALLAMP","Allium ampeloprasum L.","gbif"
-7.688954,38.954048,"ALLAMP","Allium ampeloprasum L.","gbif"
-8.853705,38.456326,"ALLAMP","Allium ampeloprasum L.","gbif"
18.376342,57.278869,"ALLSCO","Allium scorodoprasum L.","gbif"
17.603782,59.858425,"ALLSCO","Allium scorodoprasum L.","gbif"
5.49846,51.2533,"ALLSCO","Allium scorodoprasum L.","gbif"
9.175,58.725,"ALLSCO","Allium scorodoprasum L.","gbif"
12.685865,56.788243,"ALLSCO","Allium scorodoprasum L.","gbif"
18.514431,57.296652,"ALLSCO","Allium scorodoprasum L.","gbif"
18.691659,57.370898,"ALLSCO","Allium scorodoprasum L.","gbif"
11.744942,57.795679,"ALLSCO","Allium scorodoprasum L.","gbif"
18.005293,59.345443,"ALLSCO","Allium scorodoprasum L.","gbif"
16.489655,56.687767,"ALLSCO","Allium scorodoprasum L.","gbif"
15.984245,56.43076,"ALLSCO","Allium scorodoprasum L.","gbif"
16.583403,56.773952,"ALLSCO","Allium scorodoprasum L.","gbif"
5.140192,44.367638,"ALLSCO","Allium scorodoprasum L.","gbif"
16.937025,52.404162,"ALLSCO","Allium scorodoprasum L.","gbif"
16.933374,52.505516,"ALLSCO","Allium scorodoprasum L.","gbif"
16.443356,56.476797,"ALLSCO","Allium scorodoprasum L.","gbif"
14.565239,56.071969,"ALLSCO","Allium scorodoprasum L.","gbif"
15.072122,57.409918,"ALLSCO","Allium scorodoprasum L.","gbif"
16.580816,56.679458,"ALLSCO","Allium scorodoprasum L.","gbif"
13.556117,55.935801,"ALLSCO","Allium scorodoprasum L.","gbif"
16.66577,56.60189,"ALLSCO","Allium scorodoprasum L.","gbif"
16.651909,56.870309,"ALLSCO","Allium scorodoprasum L.","gbif"
11.925,57.575,"ALLSCO","Allium scorodoprasum L.","gbif"
16.550444,56.763028,"ALLSCO","Allium scorodoprasum L.","gbif"
16.291999,58.957418,"ALLSCO","Allium scorodoprasum L.","gbif"
